,sid,year,Cause Name,state,deaths
199,row-kxzu~63bv_h3ff,2017,Stroke,Tennessee,3519
200,row-ausp.zyif_qzcv,2017,Stroke,Texas,10790
201,row-4pew.6cgn.7c4r,2017,Stroke,Utah,888
202,row-dcd6_z5nm.8fhm,2017,Stroke,Vermont,249
203,row-yvzk-hf2w.zfei,2017,Stroke,Virginia,3555
204,row-nkda.g5r8~p3sk,2017,Stroke,Washington,3028
205,row-2x7x~3mh2~ispn,2017,Stroke,West Virginia,1058
206,row-5rzf~rbe2_ke2j,2017,Stroke,Wisconsin,2513
207,row-2bf7-emed-cbfi,2017,Stroke,Wyoming,190
208,row-5va9.5hwj.dwc3,2017,CLRD,United States,160201
209,row-c637-czej-9nr3,2017,CLRD,Alabama,3484
210,row-tk6g~sykf~r5np,2017,CLRD,Alaska,204
211,row-zvf5.hsa7-zxe5,2017,CLRD,Arizona,3802
212,row-iybr~466s~sdn3,2017,CLRD,Arkansas,2517
213,row-ikj7.2n7j-2cjv,2017,CLRD,California,13881
214,row-f29e-m7yd-mga5,2017,CLRD,Colorado,2604
215,row-7kxn~hih9-avi4,2017,CLRD,Connecticut,1471
216,row-a8pz-8hq6_cvsp,2017,CLRD,Delaware,526
217,row-7vmx_k7n2-4mre,2017,CLRD,District of Columbia,137
218,row-iign~xq5i-cfu2,2017,CLRD,Florida,12619
219,row-7ixr_vg4n~qztz,2017,CLRD,Georgia,4866
220,row-wn8s_n5qa-66et,2017,CLRD,Hawaii,378
221,row-nfgq-78dj.5yk8,2017,CLRD,Idaho,925
222,row-z8nn-znpy_cydr,2017,CLRD,Illinois,5732
223,row-au7u_v2jn_pp67,2017,CLRD,Indiana,4375
224,row-e2et_36kh.j36f,2017,CLRD,Iowa,1939
225,row-jx7g_7ci9.mb3m,2017,CLRD,Kansas,1832
226,row-a3b8-8sbc_2iks,2017,CLRD,Kentucky,3480
227,row-v237~3pny-d4qf,2017,CLRD,Louisiana,2467
228,row-maar-bnwf.ygv2,2017,CLRD,Maine,982
229,row-zbsz~eyus~ats7,2017,CLRD,Maryland,2079
230,row-dx3y~bnhm~ucni,2017,CLRD,Massachusetts,2842
231,row-2c2w.2zu3-t2ud,2017,CLRD,Michigan,5688
232,row-nz3s.q6dv~bhsm,2017,CLRD,Minnesota,2464
233,row-4hzq-rdfb~9b5h,2017,CLRD,Mississippi,2037
234,row-uqfm.yhmt-6jbd,2017,CLRD,Missouri,3940
235,row-u6mr-ncbb~h6cj,2017,CLRD,Montana,752
236,row-27uc-rtzi_qc2d,2017,CLRD,Nebraska,1224
237,row-766v_jtds_t9xm,2017,CLRD,Nevada,1633
238,row-2xjx~egps-b7e4,2017,CLRD,New Hampshire,755
239,row-ctdp_nuid-2xcg,2017,CLRD,New Jersey,3227
240,row-rvid_hjq9-wudc,2017,CLRD,New Mexico,1143
241,row-e5hi~imet_g9a8,2017,CLRD,New York,7258
242,row-kcqg_regd_wqde,2017,CLRD,North Carolina,5540
243,row-p8wq_j3d6-ckih,2017,CLRD,North Dakota,358
244,row-jqqr_9mi2_vzrj,2017,CLRD,Ohio,7312
245,row-47z7_fqnq~4xcj,2017,CLRD,Oklahoma,3035
246,row-jmvj~b5qy-ta4y,2017,CLRD,Oregon,2088
247,row-adpr~ahcz~g9fs,2017,CLRD,Pennsylvania,6667
248,row-nna8_uwsy_xh9e,2017,CLRD,Rhode Island,521
249,row-v7ej_vaih~5dne,2017,CLRD,South Carolina,2983
250,row-iu9v_qmjg.yv5g,2017,CLRD,South Dakota,505
251,row-mx8w-95fi~v4vp,2017,CLRD,Tennessee,4657
252,row-t9bj_z3h8_tftg,2017,CLRD,Texas,10650
253,row-s4pr.9mrn-nxb6,2017,CLRD,Utah,826
254,row-kcj7_6pju.nemd,2017,CLRD,Vermont,375
255,row-5h5m.vib7_izig,2017,CLRD,Virginia,3363
256,row-xj54_66ty.pcz8,2017,CLRD,Washington,3177
257,row-ianj.if2m-5kgg,2017,CLRD,West Virginia,1681
258,row-c324~biah~hm47,2017,CLRD,Wisconsin,2834
259,row-gntu_dfjc.ikru,2017,CLRD,Wyoming,366
260,row-4qnm~yat4-wamt,2017,Diabetes,United States,83564
261,row-hfhk.ak8h~mefw,2017,Diabetes,Alabama,1173
262,row-66pi.yp7a_5rnv,2017,Diabetes,Alaska,130
263,row-ytb8_vips-vkvq,2017,Diabetes,Arizona,2054
264,row-t9zm.3vmc.hgmb,2017,Diabetes,Arkansas,1180
265,row-cbw8~bq7a_mpjq,2017,Diabetes,California,9595
266,row-tuse_3eha.yhaa,2017,Diabetes,Colorado,1017
267,row-zm2v-vgdy.4smi,2017,Diabetes,Connecticut,694
268,row-js7d~v5mt.va2s,2017,Diabetes,Delaware,244
269,row-eukt-j8ym~8n72,2017,Diabetes,District of Columbia,138
270,row-kt59.u4fe.q9fc,2017,Diabetes,Florida,6172
271,row-3i8k~q2yd~t6im,2017,Diabetes,Georgia,2348
272,row-bpmm-rihy_k5v3,2017,Diabetes,Hawaii,299
273,row-uskz.jmgy_9t5h,2017,Diabetes,Idaho,394
274,row-g8jj-5352_pdka,2017,Diabetes,Illinois,2927
275,row-zq96-udyb_rghj,2017,Diabetes,Indiana,2096
276,row-4wru-ixbh_wbv9,2017,Diabetes,Iowa,918
277,row-g8m5~imbn_a47f,2017,Diabetes,Kansas,874
278,row-fc2c.fpek.ezpa,2017,Diabetes,Kentucky,1474
279,row-b2yf_dmbd_w4nj,2017,Diabetes,Louisiana,1272
280,row-eshn.ju2w.ewz7,2017,Diabetes,Maine,395
281,row-cfvu~vsdg-ctxa,2017,Diabetes,Maryland,1439
282,row-x7it.dqnc~zxir,2017,Diabetes,Massachusetts,1321
283,row-grc8_cgdq.cfm5,2017,Diabetes,Michigan,2798
284,row-kvnp~9t2w.n8ct,2017,Diabetes,Minnesota,1312
285,row-eyef.fvq9~tgpz,2017,Diabetes,Mississippi,1164
286,row-5cbn.get7.bf3j,2017,Diabetes,Missouri,1605
287,row-tt2d-2kz2_h4eb,2017,Diabetes,Montana,292
288,row-ygs7_6h9k.8r7e,2017,Diabetes,Nebraska,575
289,row-a74y~xd52_j4s9,2017,Diabetes,Nevada,609
290,row-ibsj.2hr5~eadw,2017,Diabetes,New Hampshire,340
291,row-prgi_w2wu-exsg,2017,Diabetes,New Jersey,1908
292,row-rvm9.qvbn~f5f7,2017,Diabetes,New Mexico,673
293,row-b6c3_cm6m-34u2,2017,Diabetes,New York,4176
294,row-rc44~p8jz_vs9a,2017,Diabetes,North Carolina,2903
295,row-gcs3.tiud_5iy3,2017,Diabetes,North Dakota,194
296,row-p8tk_e2gi~7uew,2017,Diabetes,Ohio,3740
297,row-b4jw.6c9t-25vb,2017,Diabetes,Oklahoma,1398
298,row-wgm5-z9fk~mpcp,2017,Diabetes,Oregon,1243
299,row-5mnw.cb8v-smbg,2017,Diabetes,Pennsylvania,3704
300,row-qs98.43eu.ex77,2017,Diabetes,Rhode Island,275
301,row-petn-zt5m.epca,2017,Diabetes,South Carolina,1535
302,row-4yne~gwn3_c9yb,2017,Diabetes,South Dakota,263
303,row-2w92-zrup.qdim,2017,Diabetes,Tennessee,1915
304,row-zime-x2ik~3rem,2017,Diabetes,Texas,5832
305,row-fnju.vyeg.6qi8,2017,Diabetes,Utah,596
306,row-3d9f~khpx~uftg,2017,Diabetes,Vermont,163
307,row-agdf-vxt7~qekq,2017,Diabetes,Virginia,1967
308,row-h4da~tccn.4dyb,2017,Diabetes,Washington,1812
309,row-9grc-fmge-jdu8,2017,Diabetes,West Virginia,864
310,row-kjm4~rhsq.c6r9,2017,Diabetes,Wisconsin,1433
311,row-mrnm~pzmu.iqvf,2017,Diabetes,Wyoming,121
312,row-bbjf_zitb~88ps,2017,Heart disease,United States,647457
313,row-23dj_dkst.vbq4,2017,Heart disease,Alabama,13110
314,row-qb9i~677b-2wka,2017,Heart disease,Alaska,814
315,row-brki~h9x4_shhs,2017,Heart disease,Arizona,12398
316,row-q7nv_gxdf~ierk,2017,Heart disease,Arkansas,8270
317,row-8dtc-ecyv_u85d,2017,Heart disease,California,62797
318,row-mvym-euvf.9tqq,2017,Heart disease,Colorado,7060
319,row-y3r2~drvq~9g36,2017,Heart disease,Connecticut,7138
320,row-j9fu.rxjf_xete,2017,Heart disease,Delaware,1990
321,row-ng97~x7iu-hbjz,2017,Heart disease,District of Columbia,1284
322,row-hwux.ehrf_ffdy,2017,Heart disease,Florida,46440
323,row-48rr.c4rw-amts,2017,Heart disease,Georgia,18389
324,row-qpqc_je94-ypng,2017,Heart disease,Hawaii,2575
325,row-d9ep-t9jx.ncik,2017,Heart disease,Idaho,3084
326,row-ga7s~42ja.tkrt,2017,Heart disease,Illinois,25394
327,row-q8t8~293q-ausp,2017,Heart disease,Indiana,14445
328,row-7rva~64py.ie57,2017,Heart disease,Iowa,7180
329,row-9qhq_mwz6~qgth,2017,Heart disease,Kansas,5723
330,row-29i6.nnhg_m7pj,2017,Heart disease,Kentucky,10343
331,row-cwm9.dcyg.279b,2017,Heart disease,Louisiana,11260
332,row-753n.zk85.wcpg,2017,Heart disease,Maine,2844
333,row-acxt-kqzc_dpd5,2017,Heart disease,Maryland,11653
334,row-ujdi-yeju.vf3m,2017,Heart disease,Massachusetts,12140
335,row-pt2s_5uc6.hzpc,2017,Heart disease,Michigan,25187
336,row-n2ja_9s6f.pw39,2017,Heart disease,Minnesota,8230
337,row-u2ev.s3mc.fqy6,2017,Heart disease,Mississippi,7944
338,row-e79b-qe4k~qdxc,2017,Heart disease,Missouri,14820
339,row-cbsg-h8zg_22k5,2017,Heart disease,Montana,2164
340,row-s6gi~b8dm.x9ae,2017,Heart disease,Nebraska,3581
341,row-xjd3-iszj.kdwe,2017,Heart disease,Nevada,6417
342,row-kkas~8fe2~v8nf,2017,Heart disease,New Hampshire,2721
343,row-njvi~3jy4~h9vw,2017,Heart disease,New Jersey,18840
344,row-e932~t3n5.ubrf,2017,Heart disease,New Mexico,3896
345,row-g8sz~cdk2-s4ud,2017,Heart disease,New York,44092
346,row-t3s2-shi4-np66,2017,Heart disease,North Carolina,18808
347,row-2xwy~mkqr-iqir,2017,Heart disease,North Dakota,1326
348,row-g8fm~xdgf-r9a4,2017,Heart disease,Ohio,28008
349,row-n33e~5mut.bkac,2017,Heart disease,Oklahoma,10772
350,row-fxvg~u29u.cjvb,2017,Heart disease,Oregon,6942
351,row-fe4k-4dec.ne34,2017,Heart disease,Pennsylvania,32312
352,row-q6vy_q5tu_zgai,2017,Heart disease,Rhode Island,2339
353,row-dtn7.ny3w~7qph,2017,Heart disease,South Carolina,10418
354,row-pyts-49pi~mv28,2017,Heart disease,South Dakota,1710
355,row-yjx8_stan-esik,2017,Heart disease,Tennessee,16019
356,row-hqd9.3mhp~nhvj,2017,Heart disease,Texas,45346
357,row-h3js.zcbp.gidr,2017,Heart disease,Utah,3749
358,row-qyb8-k72r_mnih,2017,Heart disease,Vermont,1332
359,row-hgtw.xyvc_bauf,2017,Heart disease,Virginia,14861
360,row-hp4t_mu3x-k9i8,2017,Heart disease,Washington,11582
361,row-23rn~z2xb_udn9,2017,Heart disease,West Virginia,4849
362,row-9sv6-kyg9.rm5s,2017,Heart disease,Wisconsin,11860
363,row-pnnf~dg8u_6n37,2017,Heart disease,Wyoming,1001
364,row-tr2s-d5xy_i37j,2017,Influenza and pneumonia,United States,55672
365,row-aw6p.mc55-cwpc,2017,Influenza and pneumonia,Alabama,1176
366,row-gsk3-v69j_a3jv,2017,Influenza and pneumonia,Alaska,66
367,row-rybu.sy52~j4cf,2017,Influenza and pneumonia,Arizona,876
368,row-vmx4_ithi_ptfp,2017,Influenza and pneumonia,Arkansas,720
369,row-2e36-5s2f~mmx2,2017,Influenza and pneumonia,California,6340
370,row-v2aj_b4qr~3jhj,2017,Influenza and pneumonia,Colorado,577
371,row-9a9c~w8rv.4e6e,2017,Influenza and pneumonia,Connecticut,675
372,row-rfgr_xqhw_uf64,2017,Influenza and pneumonia,Delaware,184
373,row-fgur_ua7t~qr8z,2017,Influenza and pneumonia,District of Columbia,79
374,row-b9rg~ciyh-zauf,2017,Influenza and pneumonia,Florida,3057
375,row-ejav_zka7_dw6z,2017,Influenza and pneumonia,Georgia,1400
376,row-z8mn~3dp8-4jsq,2017,Influenza and pneumonia,Hawaii,637
377,row-bhd3_u7z4-c7tn,2017,Influenza and pneumonia,Idaho,255
378,row-pv69~ixrq~3j3q,2017,Influenza and pneumonia,Illinois,2402
379,row-qgne~y33k-pbta,2017,Influenza and pneumonia,Indiana,1078
380,row-dmns.nn35_kvqk,2017,Influenza and pneumonia,Iowa,578
381,row-2e54-pwwn.b8jx,2017,Influenza and pneumonia,Kansas,546
382,row-vzfj.4rr5_qifi,2017,Influenza and pneumonia,Kentucky,932
383,row-zhbt~kvnb_gkec,2017,Influenza and pneumonia,Louisiana,785
384,row-6nf8_5xex_3fep,2017,Influenza and pneumonia,Maine,301
385,row-wj6r~zkcj_uu98,2017,Influenza and pneumonia,Maryland,990
386,row-q9v6~gtcm-t7nj,2017,Influenza and pneumonia,Massachusetts,1433
387,row-vy4e_8eq6_v6rq,2017,Influenza and pneumonia,Michigan,1798
388,row-29bt_wfjf.qhbq,2017,Influenza and pneumonia,Minnesota,697
389,row-zspg~jkd9-apc7,2017,Influenza and pneumonia,Mississippi,782
390,row-rm4s-jhnk~gprr,2017,Influenza and pneumonia,Missouri,1281
391,row-icmw-qhn6-iww3,2017,Influenza and pneumonia,Montana,185
392,row-ysx4-iphn_vq82,2017,Influenza and pneumonia,Nebraska,393
